TMIN(C),TMED(C),TMAX(C),RAD(W/m2),LLUVIA(MM),T-TD(C),FECHA,RAD (mj/m2)
13.1,20.3,27.1,370,0,8.1,19-11-21,31.968
15.2,22.1,28.8,369,0,8.3,20-11-21,31.8816
17.6,23.6,30.1,370,0,9,21-11-21,31.968
18.9,24.9,31.6,361,0,8.6,22-11-21,31.1904
17.6,22.4,30.1,281,6.4,6.3,23-11-21,24.2784
11.7,15.9,21.7,216,2.2,6.5,24-11-21,18.6624
11.3,16,21,231,1.8,6.8,25-11-21,19.9584
13.2,18.5,24.9,289,1,7.1,26-11-21,24.9696
15.2,21.6,28,375,0,8.2,27-11-21,32.4
17.4,23.5,30,366,0,8.3,28-11-21,31.6224
19.2,25.5,31.9,344,0.6,8,29-11-21,29.7216
20.3,24.6,31.1,280,3.1,6.3,30-11-21,24.192
18,23.2,30.4,274,2.4,7,01-12-21,23.6736
18.5,22.4,29.2,338,7,6.2,02-12-21,29.2032
17.2,21.7,26.9,321,2.1,5.3,03-12-21,27.7344
17.9,22.6,28,337,0.9,6.2,04-12-21,29.1168
18.6,23.3,28.9,341,0.6,6.6,05-12-21,29.4624
18.5,24.6,30.6,342,0.5,7.2,06-12-21,29.5488
15.9,20,26.7,258,1.8,8,07-12-21,22.2912
14.1,18.8,24.3,365,0,8.6,08-12-21,31.536
13.6,19.8,26.6,368,0,8.2,09-12-21,31.7952
15.2,21.8,28.7,381,0,8.8,10-12-21,32.9184
18.6,24,30.5,320,0,8.2,11-12-21,27.648
19.9,25.1,31.4,341,0.5,7.8,12-12-21,29.4624
19.7,24.9,31,359,4.3,7.3,13-12-21,31.0176
20.5,26.2,32.3,356,1.3,8,14-12-21,30.7584
20.1,24.6,30.9,265,5.4,6.6,15-12-21,22.896
20.5,24.9,30.9,347,0,7.7,16-12-21,29.9808
20.5,25.4,31.3,370,0,8.5,17-12-21,31.968
20.4,25.7,31.8,356,1.4,8.4,18-12-21,30.7584
19,24.6,31.5,340,4.3,7.4,19-12-21,29.376
19.7,25.4,30.8,327,1.2,7.7,20-12-21,28.2528
21.2,25.5,30.9,270,2.2,6.7,21-12-21,23.328
18.9,23.7,30.4,301,2.9,6.8,22-12-21,26.0064
16.2,21.7,27.2,306,3.5,7.9,23-12-21,26.4384
16.4,21.7,28.4,384,0,9.8,24-12-21,33.1776
16.1,23.4,30.5,382,0.2,10.2,25-12-21,33.0048
18.2,24.3,31.2,380,0,10.3,26-12-21,32.832
18.4,25,31.9,376,0,10,27-12-21,32.4864
19.6,25.4,32.3,332,1.7,9.1,28-12-21,28.6848
20.3,26,32.8,344,0.6,9,29-12-21,29.7216
20.7,26.6,33.9,373,0,10.2,30-12-21,32.2272
20.4,26,33.8,361,5.5,9.6,31-12-21,31.1904
21.2,25.1,30.5,303,2.9,6.7,01-01-22,26.1792
17.6,22.6,31,280,7.1,5.3,02-01-22,24.192
18.7,23.2,29,354,0.6,7.3,03-01-22,30.5856
19.9,24.8,31.1,362,2.2,7.2,04-01-22,31.2768
19.4,22.8,28.1,315,3.6,7.4,05-01-22,27.216
17.5,22.4,28.6,281,0,9.8,06-01-22,24.2784
18.3,24.4,31.2,319,0,9.9,07-01-22,27.5616
18.4,23.8,31,268,1.6,10.1,08-01-22,23.1552
19.4,25,31.9,342,0,9.9,09-01-22,29.5488
20.5,25.5,31.1,288,0.5,9.8,10-01-22,24.8832
19.8,25.3,31.9,339,0.3,10.5,11-01-22,29.2896
21.2,26.5,33,364,0.2,10.6,12-01-22,31.4496
21.8,27.4,33.9,329,1.8,8.6,13-01-22,28.4256
23.6,28.2,33.7,264,1.7,7.5,14-01-22,22.8096
22.9,27,32,209,2.1,7.3,15-01-22,18.0576
21.5,26.5,32.7,303,0.4,7.4,16-01-22,26.1792
22.7,27.8,33.9,345,0.2,7.5,17-01-22,29.808
22.4,27.7,34,345,0.6,7.7,18-01-22,29.808
21.9,27.7,33.7,322,13,7.5,19-01-22,27.8208
22,26,31.6,294,4.7,6,20-01-22,25.4016
22.3,27.7,34.4,337,1.3,8.2,21-01-22,29.1168
23.2,27.7,33.8,316,1,8.7,22-01-22,27.3024
21.4,26.5,33.6,347,0.5,9.5,23-01-22,29.9808
21.7,27.4,33.9,346,1,10.1,24-01-22,29.8944
22.1,27,33.5,322,1,9.6,25-01-22,27.8208
21.8,26.1,33.2,190,6.4,7,26-01-22,16.416
22.3,26.7,32.8,297,4.5,7.2,27-01-22,25.6608
21.5,26.6,32.3,289,5.3,8.2,28-01-22,24.9696
21.6,26.9,34,331,1.9,9.1,29-01-22,28.5984
23.7,28.1,34.2,344,0,9.8,30-01-22,29.7216
21.7,26.2,32.2,294,0.8,8.7,31-01-22,25.4016
21.1,27,33.7,342,0,10.1,01-02-22,29.5488
22.9,27.3,34.7,345,0.5,9,02-02-22,29.808
21.1,26.8,33.7,312,0.8,8.9,03-02-22,26.9568
17.7,23.3,31.2,244,5.1,9.8,04-02-22,21.0816
17.6,21.4,28,173,7.2,9.6,05-02-22,14.9472
19,24.7,31.1,283,0.2,9.2,06-02-22,24.4512
19.9,25.5,33.6,263,3.7,7.9,07-02-22,22.7232
20.9,24.9,30.6,297,1.4,9,08-02-22,25.6608
20.5,24.8,30.3,219,1.7,8.6,09-02-22,18.9216
20.7,24.8,30.1,190,5.2,6.5,10-02-22,16.416
20.9,25.6,31.7,252,1.2,7.2,11-02-22,21.7728
22.2,26.7,32.4,270,0.5,7,12-02-22,23.328
22.4,26.8,32.9,252,5.1,5.4,13-02-22,21.7728
22,25.1,30.8,252,5.8,3.9,14-02-22,21.7728
21.6,25.9,31.9,264,0.5,6.7,15-02-22,22.8096
22.3,26.9,33,267,0.2,7,16-02-22,23.0688
22.4,27.2,35,238,5.4,7.5,17-02-22,20.5632
21.8,26.4,33.1,312,0.3,9.3,18-02-22,26.9568
19.9,25.6,32.2,259,1.8,8.7,19-02-22,22.3776
18.1,23.6,31.3,236,2.2,8.3,20-02-22,20.3904
17.2,21.2,28.7,267,0.9,7.8,21-02-22,23.0688
17.1,22.6,29.4,304,0.5,10,22-02-22,26.2656
17.7,24,30.8,324,0,9.1,23-02-22,27.9936
19.4,25.7,33.2,320,0.1,9.4,24-02-22,27.648
20.4,26.6,33.8,320,1.4,9.5,25-02-22,27.648
21.7,27.6,34.6,301,0,9.1,26-02-22,26.0064
22.7,28.2,34.8,300,0.1,9,27-02-22,25.92
23,28.4,35.5,290,0,9.6,28-02-22,25.056
21.7,26.6,33,255,3,8.2,01-03-22,22.032
19.5,22.7,27.7,136,2.5,6.3,02-03-22,11.7504
20.7,24.4,29.6,184,1,7.4,03-03-22,15.8976
20.5,24.8,30.3,202,1.3,7.6,04-03-22,17.4528
21.3,25.6,31.4,243,2.5,7.4,05-03-22,20.9952
21.2,26.3,32.4,265,1.8,7.1,06-03-22,22.896
21.3,25.5,32.3,248,7.7,5.2,07-03-22,21.4272
19.5,24.6,30.3,274,1,7.9,08-03-22,23.6736
18.1,24.2,31.1,270,2.1,9.1,09-03-22,23.328
18.2,21.4,26.7,158,3.8,7.8,10-03-22,13.6512
17.7,21.7,26.2,172,2.9,5.6,11-03-22,14.8608
18.3,23,28.3,264,1.1,7.2,12-03-22,22.8096
19,23.8,30.3,267,2.7,6.7,13-03-22,23.0688
20.5,25.4,32,276,1.4,7.5,14-03-22,23.8464
18.6,23.6,31.3,244,2.4,8,15-03-22,21.0816
16.5,20.8,29.3,234,5.4,6.2,16-03-22,20.2176
16.3,18.4,22,85,4.1,4,17-03-22,7.344
16.6,20.1,24.3,192,1.6,4.7,18-03-22,16.5888
17.6,21.3,26.5,219,1.4,5.8,19-03-22,18.9216
15.6,19.1,24.6,169,1.3,7.9,20-03-22,14.6016
13.9,19.3,25.8,202,0.1,7.8,21-03-22,17.4528
16.2,21.5,28.4,266,0.6,7.6,22-03-22,22.9824
16.7,20.9,26.5,187,0.5,7.5,23-03-22,16.1568
15.8,20.9,27.7,246,0,9.2,24-03-22,21.2544
16.8,21.5,28.4,214,0.1,8.2,25-03-22,18.4896
18.6,23,29,221,1.5,7,26-03-22,19.0944
18.5,21.8,26.6,65,4.6,6.3,27-03-22,5.616
16.6,21.2,27.2,228,0,10.7,28-03-22,19.6992
16.9,20.7,26.6,165,0,9.2,29-03-22,14.256
15.9,20.2,25.9,138,1.8,7,30-03-22,11.9232
16.5,20.6,26.5,187,0.3,6.7,31-03-22,16.1568
15.8,21.6,28.5,242,1.3,7,01-04-22,20.9088
16.8,21.2,27.3,200,0,7.9,02-04-22,17.28
15.4,20.3,26.7,168,0.4,8.2,03-04-22,14.5152
17.7,20.8,25.8,99,0.7,6,04-04-22,8.5536
18.2,21.7,27.3,144,0.7,6.5,05-04-22,12.4416
16.3,21.2,26.9,128,3.1,7.1,06-04-22,11.0592
15.4,21.1,27.9,162,0.1,7.8,07-04-22,13.9968
16.7,21.5,28.2,202,0.1,6.2,08-04-22,17.4528
18.8,23.2,28.7,176,0.8,6.7,09-04-22,15.2064
17.7,21.4,26.6,181,1.1,7.1,10-04-22,15.6384
17.8,21,26.4,182,1.3,6.5,11-04-22,15.7248
17.3,21,25.8,198,0.4,6.7,12-04-22,17.1072
14.3,18.5,25.4,152,7,5.6,13-04-22,13.1328
13.5,18.1,24.1,205,0,8.3,14-04-22,17.712
13.5,18.4,24.9,200,0,8.2,15-04-22,17.28
14.3,18.8,24.5,145,0.2,6.9,16-04-22,12.528
16.3,20,25.4,159,0.3,6,17-04-22,13.7376
15.8,20.2,26.2,140,0.3,5.8,18-04-22,12.096
15.9,20.4,27,160,0.1,6,19-04-22,13.824
16.3,21.5,27.3,163,0.5,6.8,20-04-22,14.0832
18.6,22,27.2,166,0.2,6.8,21-04-22,14.3424
18.8,22.5,27.3,178,0,5.7,22-04-22,15.3792
18.5,22.3,28,183,0.4,5.4,23-04-22,15.8112
17.2,20.9,27.2,171,0.1,7.9,24-04-22,14.7744
16.6,20.4,25.9,189,0.1,8.3,25-04-22,16.3296
15.1,18.9,24.3,174,2.8,6.5,26-04-22,15.0336
16,19.2,24.1,138,0.6,6,27-04-22,11.9232
15.6,19.4,24.4,118,0.3,6.1,28-04-22,10.1952
14.8,18.7,25,83,1.9,5.2,29-04-22,7.1712
14.9,18.8,24.5,164,0,6,30-04-22,14.1696
16.7,19.9,24.9,164,0.1,5.6,01-05-22,14.1696
16.5,19.9,24.2,154,1.7,4.8,02-05-22,13.3056
16.2,19.5,24.2,73,2.3,4.6,03-05-22,6.3072
16,20.6,26.4,172,0.3,5.7,04-05-22,14.8608
16.3,20.2,25.7,156,0.6,6.4,05-05-22,13.4784
15.6,19,23.7,160,0.6,7.2,06-05-22,13.824
14.8,18.6,24,138,0.1,8.3,07-05-22,11.9232
15.1,18.6,23.5,106,1,6.8,08-05-22,9.1584
14.2,17.9,24.5,113,0.1,6.1,09-05-22,9.7632
13.8,18.5,24.5,96,0.3,5.4,10-05-22,8.2944
16.6,20.5,26,132,0.5,5.6,11-05-22,11.4048
15,18.6,24.7,146,0.3,6.2,12-05-22,12.6144
14.5,17.3,21.5,53,0.2,6,13-05-22,4.5792
13.5,17,21.7,93,0.7,6.4,14-05-22,8.0352
14.2,18.6,22.6,92,0.7,5,15-05-22,7.9488
17.3,19.1,23.2,93,1.7,4.9,16-05-22,8.0352
13.8,17.7,22.7,114,0.5,7.3,17-05-22,9.8496
14.2,17.3,21.9,134,0,7.3,18-05-22,11.5776
13.5,16.4,19.8,68,0.4,7.6,19-05-22,5.8752
13.6,16.8,20.9,75,1.1,5.4,20-05-22,6.48
14.3,17,22,82,0.9,6.8,21-05-22,7.0848
13.1,16.3,21.2,90,0.5,6.9,22-05-22,7.776
11.9,14.9,19.3,49,1.4,5.9,23-05-22,4.2336
11.2,15.8,21.3,102,0.1,6.5,24-05-22,8.8128
14.1,17,21.7,58,0.2,5.8,25-05-22,5.0112
13.8,16.8,20.2,53,1.1,4.1,26-05-22,4.5792
11.4,14,18.6,26,4.1,4.2,27-05-22,2.2464
12,14.1,16.6,52,3.2,3.9,28-05-22,4.4928
12,14.6,17.7,62,0.9,4.5,29-05-22,5.3568
11.6,14.1,18.3,104,0.8,4.7,30-05-22,8.9856
11.1,13.6,17,84,0.8,4.9,31-05-22,7.2576
12.3,13.7,15.4,49,1.8,3.8,01-06-22,4.2336
12.4,14.8,17.6,47,1.7,4.2,02-06-22,4.0608
13.5,15.9,19,34,2,3.3,03-06-22,2.9376
15,17.1,19.1,31,1.7,2.4,04-06-22,2.6784
